ID,Nombre_Vendedor,Nivel,cantidad_productos_vendidos,Monto_vendido,Comision
4,Tye,0,89,80270.00 ,1605.40
5,Boniface,0,170,41265.18 ,825.30
7,Rozele,0,44,61985.34 ,1239.71
10,Kristel,0,18,809.92 ,16.20
11,Prentiss,0,5,60207.74 ,1204.15
13,Cyrus,0,105,25566.15 ,511.32
14,Shane,0,148,45107.10 ,902.14
16,Kahlil,0,69,78577.50 ,1571.55
19,Robbie,0,56,64195.19 ,1283.90
21,Kissie,0,160,90198.39 ,1803.97
23,Saree,0,36,9469.25 ,189.38
24,Patrick,0,74,79986.29 ,1599.73
26,Issi,0,132,70932.85 ,1418.66
27,Claus,0,90,23969.42 ,479.39
29,Olivette,0,124,82974.63 ,1659.49
38,Tore,0,12,91175.72 ,1823.51
39,Bernette,0,52,89869.37 ,1797.39
41,Jase,0,111,15799.73 ,315.99
42,Binnie,0,139,36845.67 ,736.91
48,Jerrilee,0,105,2590.34 ,51.81
54,Gwenette,0,199,78582.48 ,1571.65
56,Michaela,0,186,72293.13 ,1445.86
57,Edith,0,152,77183.60 ,1543.67
60,Calypso,0,83,35722.43 ,714.45
61,Zitella,0,27,86391.42 ,1727.83
62,Reynolds,0,133,59499.18 ,1189.98
67,Delphinia,0,90,85093.67 ,1701.87
70,Esther,0,138,71893.30 ,1437.87
71,Zack,0,102,95865.75 ,1917.31
73,Wallis,0,57,1397.41 ,27.95
76,Mair,0,181,4288.46 ,85.77
79,Ethelred,0,194,84490.31 ,1689.81
80,Rosamond,0,113,1831.43 ,36.63
82,Christi,0,128,41341.81 ,826.84
83,Katey,0,129,8094.10 ,161.88
84,Peggie,0,124,80982.32 ,1619.65
85,Arnie,0,118,91699.39 ,1833.99
86,Tobi,0,157,21663.43 ,433.27
87,Lisabeth,0,121,32718.40 ,654.37
92,Greta,0,126,57318.85 ,1146.38
94,Babara,0,179,3174.36 ,63.49
95,Silvanus,0,194,89301.46 ,1786.03
98,Ronna,0,81,57459.17 ,1149.18
99,Clovis,0,80,26278.22 ,525.56
